Iteration, Objective function, Best objective function, Parameters, Time elapsed (s)
199 5651.575 1484.711 [3.865 100.000 0.279 0.366 0.000 0.090] 4039.400033 
200 2604.404 1484.711 [100.000 0.046 0.168 0.888 0.012 0.049] 4083.763590 
201 3810.400 1484.711 [0.690 0.010 0.108 10.000 0.012 0.005] 4130.844392 
202 2130.605 1484.711 [1.400 100.000 0.158 1.280 0.013 0.170] 4173.218427 
203 2489.033 1484.711 [15.862 0.090 0.148 0.818 0.095 0.024] 4226.306709 
204 1983.365 1484.711 [100.000 0.045 0.407 0.711 0.035 0.029] 4278.347045 
205 2092.184 1484.711 [100.000 0.556 0.130 1.466 0.000 0.104] 4318.290684 
206 2337.455 1484.711 [31.194 0.935 0.047 2.152 0.000 0.047] 4358.269998 
207 2618.260 1484.711 [100.000 0.773 0.181 3.115 0.001 0.206] 4397.555553 
208 2423.547 1484.711 [3.798 100.000 0.179 2.131 0.004 0.239] 4432.567898 
209 3321.906 1484.711 [100.000 1.674 0.048 2.503 0.000 0.116] 4478.666522 
210 1812.669 1484.711 [100.000 0.116 0.222 1.191 0.000 0.056] 4522.548660 
211 2569.760 1484.711 [100.000 0.262 1.315 0.457 0.000 0.108] 4569.774785 
212 2479.569 1484.711 [31.349 0.266 0.291 1.003 0.000 0.055] 4617.381574 
213 1906.069 1484.711 [100.000 0.203 0.407 1.090 0.000 0.083] 4658.700673 
214 1569.794 1484.711 [1.669 100.000 0.193 1.658 0.032 0.649] 4708.994976 
215 7946.379 1484.711 [100.000 0.267 100.000 0.010 0.000 0.069] 4740.877005 
216 1484.502 1484.502 [1.711 35.004 0.187 1.891 0.139 0.514] 4782.841157 
217 2808.588 1484.502 [100.000 100.000 0.010 10.000 0.006 0.026] 4824.245284 
218 1632.567 1484.502 [2.194 51.139 0.161 1.585 0.025 0.497] 4882.960112 
219 13184.267 1484.502 [0.010 1.063 0.353 0.010 0.000 0.000] 4921.150285 
220 1692.877 1484.502 [2.295 100.000 0.149 1.451 0.015 0.474] 4964.625241 
221 1481.141 1481.141 [1.694 55.226 0.181 2.140 0.052 0.470] 5024.556024 
222 3446.442 1481.141 [100.000 9.019 0.014 10.000 0.011 0.051] 5060.279127 
223 2855.852 1481.141 [3.437 0.077 0.106 10.000 0.004 0.031] 5106.655202 
224 8753.552 1481.141 [3.119 100.000 100.000 0.010 0.000 0.571] 5149.021362 
225 20208.462 1481.141 [100.000 100.000 100.000 0.010 0.000 3.000] 5193.625036 
226 7331.833 1481.141 [0.977 100.000 4.396 0.010 0.000 0.080] 5271.116389 
227 12456.431 1481.141 [2.391 2.401 100.000 0.037 0.000 0.016] 5317.296855 
228 1593.736 1481.141 [0.105 0.065 0.041 10.000 3.000 0.020] 5370.074484 
229 8827.148 1481.141 [2.077 100.000 2.420 0.131 0.000 2.027] 5413.181201 
230 1658.034 1481.141 [2.207 52.885 0.202 2.508 0.053 0.773] 5464.386041 
231 24443.947 1481.141 [100.000 100.000 100.000 0.010 3.000 0.000] 5501.500705 
232 1987.577 1481.141 [100.000 0.143 0.385 2.063 0.000 0.130] 5557.436512 
233 2154.991 1481.141 [11.672 1.508 0.083 3.041 0.001 0.084] 5601.483914 
234 1861.705 1481.141 [3.877 0.161 0.120 2.626 0.048 0.051] 5657.640420 
235 1664.706 1481.141 [2.166 2.174 0.106 3.516 0.018 0.165] 5709.425907 
236 1431.095 1431.095 [1.467 16.377 0.162 1.959 0.079 0.327] 5775.895189 
237 2739.051 1431.095 [3.949 1.696 0.113 10.000 0.009 0.288] 5829.902973 
238 1826.632 1431.095 [3.457 0.961 0.128 1.622 0.012 0.081] 5877.338327 
239 1483.823 1431.095 [1.597 2.747 0.118 1.860 0.068 0.153] 5931.958153 
240 1495.968 1431.095 [2.278 4.816 0.131 1.943 0.036 0.206] 6000.640613 
241 1515.114 1431.095 [1.351 6.269 0.116 1.971 0.045 0.160] 6062.036050 
242 1513.293 1431.095 [1.549 3.423 0.168 2.072 0.039 0.167] 6109.811646 
243 1466.974 1431.095 [1.575 15.823 0.178 1.576 0.141 0.281] 6176.148390 
244 1538.980 1431.095 [1.363 28.465 0.203 1.654 0.063 0.387] 6233.262248 
245 1433.967 1431.095 [1.524 5.832 0.135 2.214 0.073 0.237] 6284.819509 
246 2412.938 1431.095 [100.000 0.166 0.362 0.625 0.000 0.154] 6344.048741 
247 1536.594 1431.095 [1.881 3.039 0.122 2.649 0.050 0.154] 6390.597158 
248 1472.770 1431.095 [1.487 12.217 0.144 1.903 0.149 0.314] 6435.778011 
249 1418.252 1418.252 [1.609 9.182 0.145 1.915 0.062 0.253] 6478.021236 
250 1675.439 1418.252 [2.771 48.029 0.398 1.603 3.000 1.456] 6534.986678 
251 1449.132 1418.252 [1.501 4.446 0.133 1.985 0.043 0.225] 6581.458334 
252 1540.417 1418.252 [2.724 4.952 0.139 1.836 0.006 0.185] 6622.353087 
253 1771.859 1418.252 [5.068 2.553 0.167 1.814 0.006 0.203] 6680.135103 
254 1438.476 1418.252 [1.889 8.555 0.143 2.284 0.017 0.259] 6735.742340 
255 1527.008 1418.252 [100.000 0.053 4.034 0.431 0.001 0.078] 6777.618214 
256 1474.055 1418.252 [100.000 0.046 2.090 0.753 0.001 0.071] 6826.329471 
257 1485.781 1418.252 [100.000 0.057 1.893 0.577 0.002 0.077] 6875.539114 
258 1769.048 1418.252 [100.000 0.085 2.015 0.651 0.001 0.130] 6929.389778 
259 1638.500 1418.252 [100.000 0.049 2.397 0.481 0.001 0.055] 6979.956930 
260 1963.576 1418.252 [2.299 1.500 0.203 1.946 0.002 0.109] 7025.940803 
261 1652.639 1418.252 [1.127 0.841 0.110 2.573 0.154 0.130] 7080.604473 
262 2202.873 1418.252 [4.464 0.103 0.293 0.897 0.017 0.035] 7131.626347 
263 1566.248 1418.252 [100.000 0.028 3.815 0.706 0.001 0.073] 7184.750986 
264 1519.201 1418.252 [100.000 0.041 1.467 0.536 0.007 0.066] 7231.541015 
265 1447.212 1418.252 [100.000 0.035 6.958 0.395 0.000 0.066] 7282.649912 
266 1447.471 1418.252 [100.000 0.036 4.829 0.540 0.000 0.068] 7333.214694 
267 1546.255 1418.252 [44.784 0.043 6.990 0.345 0.000 0.066] 7391.216456 
268 1595.735 1418.252 [82.537 0.047 7.801 0.165 0.000 0.067] 7459.014963 
269 1487.671 1418.252 [38.409 0.054 1.642 0.845 0.002 0.072] 7514.349334 
270 1494.065 1418.252 [100.000 0.038 9.080 0.225 0.000 0.065] 7572.561826 
271 1716.066 1418.252 [16.876 0.137 0.505 1.527 0.001 0.091] 7628.308591 
272 1511.393 1418.252 [100.000 0.046 1.258 0.960 0.003 0.071] 7693.999858 
273 1472.841 1418.252 [80.640 0.043 5.033 0.342 0.000 0.082] 7747.660541 
274 1882.589 1418.252 [100.000 0.062 12.126 0.245 0.000 0.083] 7801.251989 
275 1630.468 1418.252 [25.825 0.115 1.124 0.604 0.004 0.094] 7869.537437 
276 1830.622 1418.252 [18.056 0.098 1.970 0.660 0.001 0.082] 7945.727115 
277 1828.654 1418.252 [100.000 0.016 12.434 0.185 0.000 0.055] 8021.046942 
278 1453.016 1418.252 [80.728 0.030 6.787 0.318 0.000 0.055] 8074.588601 
