
[000:02:09]	3817.61390294	[    72.969,     12.916,      0.542,      1.741,      0.531,      3.794]	cm

[000:02:09]	6973.82800843	[    77.667,     18.167,      0.542,      3.597,      0.265,      0.828]	cmm

[000:02:10]	5546.74283542	[    77.667,     18.167,      0.542,      3.597,      0.265,      1.997]	cmm

[000:02:11]	6165.93132609	[    77.540,     11.773,      0.542,      3.597,      1.619,      1.416]	c

[000:02:12]	2899.72910249	[    77.667,     17.734,      0.228,      3.597,      0.531,      4.239]	c

[000:02:13]	2887.62704841	[    77.667,     21.044,      0.228,      3.597,      0.531,      4.239]	c

[000:02:14]	23154.2206733	[    88.259,     87.367,     39.497,      2.191,      1.970,      0.022]	r

[000:02:14]	21291.1006945	[    69.994,     23.272,     64.517,      0.421,      1.602,      0.144]	r

[000:02:15]	2892.28627201	[    77.667,     19.560,      0.228,      3.597,      0.540,      4.239]	cm

[000:02:17]	2964.88232171	[    77.667,     10.022,      0.228,      3.597,      0.396,      4.239]	cm

[000:02:18]	2972.68227413	[    77.667,     17.734,      0.306,      3.597,      0.531,      4.239]	cm

[000:02:19]	3160.05627076	[    77.667,     17.734,      0.181,      3.597,      0.531,      4.239]	cm

[000:02:21]	3113.33775726	[    63.267,     17.734,      0.228,      3.597,      0.531,      5.799]	cm

[000:02:21]	3598.14305485	[    90.088,     17.734,      0.228,      3.597,      0.531,      1.742]	cm

[000:02:23]	2887.62704841	[    77.667,     21.044,      0.228,      3.597,      0.531,      4.239]	c

[000:02:24]	4289.35330955	[    77.667,     17.734,      0.542,      3.597,      0.531,      4.239]	c

[000:02:25]	6097.32552848	[    77.540,     12.916,      0.542,      1.741,      1.619,      1.416]	c

[000:02:25]	18981.1408495	[    48.673,     14.583,     33.969,      1.110,      4.511,      1.414]	r

[000:02:26]	16857.6782491	[    18.828,     17.641,     26.180,      2.503,      3.552,      3.772]	r

[000:02:27]	2889.21026613	[    77.667,     21.044,      0.228,      3.597,      0.428,      4.239]	rmmmmmmm

[000:02:28]	2886.22029759	[    77.667,     21.044,      0.228,      3.597,      0.705,      4.239]	rmmmmmmm

[000:02:30]	3135.54385932	[    63.267,     15.318,      0.228,      3.600,      0.531,      5.799]	cmm

[000:02:32]	3119.68719084	[    63.267,     22.913,      0.228,      2.965,      0.531,      5.799]	cmm

[000:02:32]	5246.73372467	[    77.540,     12.916,      0.542,      1.741,      1.619,      1.950]	cm

[000:02:33]	8125.21303572	[    77.540,     12.916,      0.542,      1.741,      1.619,      0.675]	cm

[000:02:33]	6326.17175588	[    77.667,     21.044,      0.542,      3.597,      0.531,      1.416]	c

[000:02:34]	2899.72910249	[    77.667,     17.734,      0.228,      3.597,      0.531,      4.239]	c

[000:02:36]	2887.62704841	[    77.667,     21.044,      0.228,      3.597,      0.531,      4.239]	c

